Date,"Patricia Pepper","Adrián Babič","Germán Chaves","Tijl De Decker","Kelly Catlin","Lieuwe Westra","Vicente López Carril","Chris Anker Sørensen","Ethan Boyes","Arturo Grávalos"
2016-02-17,0,0,0,0,0,4,1,8,0,0
2016-02-18,0,0,0,0,0,9,0,12,0,0
2016-02-19,0,0,0,0,0,8,3,16,0,0
2016-02-20,0,0,0,0,0,8,0,13,0,0
2016-02-21,0,0,0,0,0,11,0,8,0,0
2016-02-22,0,0,0,0,0,8,1,17,0,0
2016-02-23,0,0,0,0,0,3,2,19,0,0
2016-02-24,0,0,0,0,0,8,1,14,0,0
2016-02-25,0,0,0,0,0,2,0,12,0,0
2016-02-26,0,0,0,0,0,13,1,10,0,0
2016-02-27,0,0,0,0,0,10,1,7,0,0
2016-02-28,0,0,0,0,0,10,1,14,0,0
2016-02-29,0,0,0,0,0,11,0,22,0,0
2016-03-01,0,0,0,0,0,3,1,8,0,0
2016-03-02,0,0,0,0,0,10,1,43,0,0
2016-03-03,0,0,0,0,13,7,1,22,0,0
2016-03-04,0,0,0,0,72,10,0,9,0,0
2016-03-05,0,0,0,0,65,3,0,14,0,0
2016-03-06,0,0,0,0,25,28,7,54,0,0
2016-03-07,0,0,0,0,19,29,2,37,0,0
2016-03-08,0,0,0,0,12,18,0,32,0,0
2016-03-09,0,0,0,0,13,11,1,15,0,0
2016-03-10,0,0,0,0,4,19,0,14,0,0
2016-03-11,0,0,0,0,2,15,2,17,0,0
2016-03-12,0,0,0,0,3,11,0,19,0,0
2016-03-13,0,0,0,0,5,19,5,37,0,0
2016-03-14,0,0,0,0,8,12,1,11,0,0
2016-03-15,0,0,0,0,3,5,2,12,0,0
2016-03-16,0,0,0,0,2,8,0,13,0,0
2016-03-17,0,0,0,0,3,15,1,2,0,0
2016-03-18,0,0,0,0,1,5,2,6,0,0
2016-03-19,0,0,0,0,10,13,0,18,0,0
2016-03-20,0,0,0,0,8,5,0,4,0,0
2016-03-21,0,0,0,0,5,8,0,11,0,0
2016-03-22,0,0,0,0,1,4,1,4,0,0
2016-03-23,0,0,0,0,4,5,2,9,0,0
2016-03-24,0,0,0,0,1,8,0,10,0,0
2016-03-25,0,0,0,0,7,13,2,12,0,0
2016-03-26,0,0,0,0,0,11,1,12,0,0
2016-03-27,0,0,0,0,3,39,1,27,0,0
2016-03-28,0,0,0,0,5,10,5,7,0,0
2016-03-29,0,0,0,0,2,153,0,7,0,0
2016-03-30,0,0,0,0,7,76,3,4,0,0
2016-03-31,0,0,0,0,5,486,1,12,0,0
2016-04-01,0,0,0,0,4,147,0,16,0,0
2016-04-02,0,0,0,0,2,41,4,4,0,0
2016-04-03,0,0,0,0,2,30,3,13,0,0
2016-04-04,0,0,0,0,8,13,2,9,0,0
2016-04-05,0,0,0,0,5,13,0,11,0,0
2016-04-06,0,0,0,0,11,18,2,8,0,0
2016-04-07,0,0,0,0,7,17,1,6,0,0
2016-04-08,0,0,0,0,6,12,1,11,0,0
2016-04-09,0,0,0,0,4,15,4,11,0,0
2016-04-10,0,0,0,0,4,35,3,21,0,0
2016-04-11,0,0,0,0,5,19,3,7,0,0
2016-04-12,0,0,0,0,3,9,0,5,0,0
2016-04-13,0,0,0,0,3,11,6,51,0,0
2016-04-14,0,0,0,0,7,8,1,22,0,0
2016-04-15,0,0,0,0,9,7,1,20,0,0
2016-04-16,0,0,0,0,2,11,6,8,0,0
2016-04-17,0,0,0,0,0,16,1,18,0,0
2016-04-18,0,0,0,0,2,8,3,15,0,0
2016-04-19,0,0,0,0,6,9,1,15,0,0
2016-04-20,0,0,0,0,4,8,1,28,0,0
2016-04-21,0,0,0,0,2,10,3,19,0,0
2016-04-22,0,0,0,0,1,14,1,15,0,0
2016-04-23,0,0,0,0,3,6,5,13,0,0
2016-04-24,0,0,0,0,3,18,2,53,0,0
2016-04-25,0,0,0,0,4,16,0,13,0,0
2016-04-26,0,0,0,0,9,10,1,9,0,0
2016-04-27,0,0,0,0,6,7,2,11,0,0
2016-04-28,0,0,0,0,8,11,0,10,0,0
2016-04-29,0,0,0,0,9,14,0,14,0,0
2016-04-30,0,0,0,0,5,7,6,10,0,0
2016-05-01,0,0,0,0,2,7,2,9,0,0
2016-05-02,0,0,0,0,5,5,1,13,0,0
2016-05-03,0,0,0,0,4,15,1,5,0,0
2016-05-04,0,0,0,0,2,5,3,9,0,0
2016-05-05,0,0,0,0,3,3,0,10,0,0
2016-05-06,0,0,0,0,0,5,0,11,0,0
2016-05-07,0,0,0,0,6,8,2,11,0,0
2016-05-08,0,0,0,0,8,7,1,10,0,0
2016-05-09,0,0,0,0,4,11,0,13,0,0
2016-05-10,0,0,0,0,2,7,2,12,0,0
2016-05-11,0,0,0,0,9,7,1,8,0,0
2016-05-12,0,0,0,0,3,8,1,14,0,0
2016-05-13,0,0,0,0,4,11,1,14,0,0
2016-05-14,0,0,0,0,2,8,3,22,0,0
2016-05-15,0,0,0,0,6,8,1,18,0,0
2016-05-16,0,0,0,0,7,3,3,12,0,0
2016-05-17,0,0,0,0,3,7,2,19,0,0
2016-05-18,0,0,0,0,4,9,1,22,0,0
2016-05-19,0,0,0,0,6,9,0,24,0,0
2016-05-20,0,0,0,0,9,12,2,15,0,0
2016-05-21,0,0,0,0,7,13,2,15,0,0
2016-05-22,0,0,0,0,2,12,0,9,0,0
2016-05-23,0,0,0,0,4,9,4,7,0,0
2016-05-24,0,0,0,0,3,15,2,17,0,0
2016-05-25,0,0,0,0,3,13,5,18,0,0
2016-05-26,0,0,0,0,5,4,1,13,0,0
2016-05-27,0,0,0,0,4,9,2,16,0,0
2016-05-28,0,0,0,0,1,12,1,18,0,0
2016-05-29,0,0,0,0,4,13,2,13,0,0
2016-05-30,0,0,0,0,1,15,3,15,0,0
2016-05-31,0,0,0,0,3,13,1,13,0,0
2016-06-01,0,0,0,0,3,7,0,18,0,0
2016-06-02,0,0,0,0,3,2,1,9,0,0
2016-06-03,0,0,0,0,4,13,2,8,0,0
2016-06-04,0,0,0,0,2,8,3,15,0,0
2016-06-05,0,0,0,0,2,4,1,13,0,0
2016-06-06,0,0,0,0,6,5,1,26,0,0
2016-06-07,0,0,0,0,3,13,2,58,0,0
2016-06-08,0,0,0,0,4,6,0,17,0,0
2016-06-09,0,0,0,0,3,7,1,23,0,0
2016-06-10,0,0,0,0,1,13,0,14,0,0
2016-06-11,0,0,0,0,5,7,2,14,0,0
2016-06-12,0,0,0,0,3,10,2,17,0,0
2016-06-13,0,0,0,0,3,6,2,37,0,0
2016-06-14,0,0,0,0,4,9,1,25,0,0
2016-06-15,0,0,0,0,2,6,2,12,0,0
2016-06-16,0,0,0,0,7,12,1,19,0,0
2016-06-17,0,0,0,0,2,6,3,11,0,0
2016-06-18,0,0,0,0,4,3,2,19,0,0
2016-06-19,0,0,0,0,3,6,3,48,0,0
2016-06-20,0,0,0,0,8,7,5,14,0,0
2016-06-21,0,0,0,0,4,8,1,26,0,0
2016-06-22,0,0,0,0,5,7,1,21,0,0
2016-06-23,0,0,0,0,4,6,1,45,0,0
2016-06-24,0,0,0,0,6,9,3,18,0,0
2016-06-25,0,0,0,0,4,4,1,27,0,0
2016-06-26,0,0,0,0,7,8,1,39,0,0
2016-06-27,0,0,0,0,8,11,2,64,0,0
2016-06-28,0,0,0,0,10,7,0,80,0,0
2016-06-29,0,0,0,0,7,5,1,86,0,0
2016-06-30,0,0,0,0,4,10,0,54,0,0
2016-07-01,0,0,0,0,4,9,2,105,0,0
2016-07-02,0,0,0,0,8,15,1,156,0,0
2016-07-03,0,0,0,0,5,10,0,121,0,0
2016-07-04,0,0,0,0,10,11,6,126,0,0
2016-07-05,0,0,0,0,16,17,3,118,0,0
2016-07-06,0,0,0,0,10,15,4,158,0,0
2016-07-07,0,0,0,0,4,13,1,116,0,0
2016-07-08,0,0,0,0,7,13,1,167,0,0
2016-07-09,0,0,0,0,8,11,1,106,0,0
2016-07-10,0,0,0,0,9,16,3,71,0,0
2016-07-11,0,0,0,0,11,20,1,61,0,0
2016-07-12,0,0,0,0,9,23,7,94,0,0
2016-07-13,0,0,0,0,10,23,6,145,0,0
2016-07-14,0,0,0,0,7,17,2,598,0,0
2016-07-15,0,0,0,0,7,22,0,138,0,0
2016-07-16,0,0,0,0,4,18,7,75,0,0
2016-07-17,0,0,0,0,5,23,7,145,0,0
2016-07-18,0,0,0,0,3,24,1,94,0,0
2016-07-19,0,0,0,0,11,36,9,101,0,0
2016-07-20,0,0,0,0,7,44,5,74,0,0
2016-07-21,0,0,0,0,9,28,3,148,0,0
2016-07-22,0,0,0,0,13,25,2,90,0,0
2016-07-23,0,0,0,0,6,23,8,74,0,0
2016-07-24,0,0,0,0,4,46,7,163,0,0
2016-07-25,0,0,0,0,9,16,13,54,0,0
2016-07-26,0,0,0,0,5,18,5,34,0,0
2016-07-27,0,0,0,0,11,13,2,28,0,0
2016-07-28,0,0,0,0,8,6,0,24,0,0
2016-07-29,0,0,0,0,17,13,2,14,0,0
2016-07-30,0,0,0,0,9,14,2,33,0,0
2016-07-31,0,0,0,0,19,5,2,22,0,0
2016-08-01,0,0,0,0,20,12,3,20,0,0
2016-08-02,0,0,0,0,26,16,5,21,0,0
2016-08-03,0,0,0,0,24,7,2,15,0,0
2016-08-04,0,0,0,0,21,5,2,42,0,0
2016-08-05,0,0,0,0,32,8,0,25,0,0
2016-08-06,0,0,0,0,56,9,2,121,0,0
2016-08-07,0,0,0,0,46,13,2,66,0,0
2016-08-08,0,0,0,0,37,11,2,24,0,0
2016-08-09,0,0,0,0,38,11,1,19,0,0
