"DateTime","Joaquim Agostinho[en]","Connie Meijer[en]","Fabio Casartelli[en]","Manuel Sanroma[en]","Saúl Morales[en]","Nicole Reinhart[en]","Andrey Kivilev[en]","Alessio Galletti[en]","Isaac Gálvez[en]","Bruno Neves[en]","Wouter Weylandt[en]","Junior Heffernan[en]","Annefleur Kalvenhaar[en]","Antoine Demoitié[en]","Daan Myngheer[en]","Gijs Verdick[en]","Bahman Golbarnezhad[en]","Mike Hall (cyclist)[en]","Michael Goolaerts[en]","Robbert de Greef[en]","Bjorg Lambrecht[en]","Suleiman Kangangi[en]","Gino Mäder[en]","Antonio Martín[en]","Néstor Mora[en]","Hernán Patiño[en]","Ricardo Otxoa[en]","Lauri Aus[en]","Amy Gillett[en]","Frederiek Nolf[en]","Zinaida Stahurskaya[en]","Jure Robič[en]","Carla Swart[en]","Carly Hibberd[en]","Víctor Cabedo[en]","Iñaki Lejarreta[en]","Burry Stander[en]","Amy Dombroski[en]","Kristof Goddaert[en]","Kelly McGarry[en]","Michele Scarponi[en]","Jason Lowndes[en]","Desiet Kidane[en]"
"2008-03-15 00:00:00",0,0,52,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"2008-03-16 00:00:00",17,0,40,3,6,33,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-03-17 00:00:00",0,0,71,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"2008-03-18 00:00:00",22,0,32,8,3,34,0,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-03-19 00:00:00",0,0,55,0,0,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-03-20 00:00:00",23,0,41,2,4,32,1,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,8,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2008-03-21 00:00:00",0,0,52,0,0,0,0,0,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-03-22 00:00:00",18,0,61,3,4,16,1,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,9,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-03-23 00:00:00",0,0,35,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"2008-03-24 00:00:00",29,0,44,10,7,50,1,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-03-25 00:00:00",0,0,59,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-03-26 00:00:00",16,0,41,9,9,52,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-03-27 00:00:00",0,0,59,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
