,Name,Competitive Status,Date of death,Nationality,Race death
35,Michael Goolaerts,Road cyclist (professional)Vérandas Willems–Crelan,2018-04-08,Belgium,1
36,Stef Loos,Road cyclist (professional)Acrog-Pauwelssauzen-Balen team,2019-03-18,Belgium,1
37,Robbert de Greef,Road cyclist (professional) Alecto Cycling Team,2019-04-25,Netherlands,1
38,Bjorg Lambrecht,Road cyclist (professional)Lotto–Soudal,2019-08-05,Belgium,1
39,Suleiman Kangangi,Road / Gravel Cyclist,2022-08-27,Kenya,1
40,Gino Mäder,Road Cyclist (professional)Team Bahrain Victorious,2023-06-16,Switzerland,1
41,Antonio Martín,Road cyclist,1994-02-11,Spain,0
42,Néstor Mora,Road cyclist,1995-02-21,Colombia,0
43,Augusto Triana,Road cyclist,1995-02-21,Colombia,0
44,Hernán Patiño,Road cyclist,1995-02-21,Colombia,0
45,Anders Nilsson,Road cyclist professional,2000-06-21,Sweden,0
46,Ricardo Otxoa,Road cyclist professional,2001-02-15,Spain,0
47,Luke Harrop,Road cyclist professional,2002-01-13,Australia,0
48,David Martin,Road cyclist amateur,2002-11-04,United States,0
49,Haruko Fujinaka,Mountainbike downhiller (pro),2003-05-17,Japan,0
50,Lauri Aus,Road cyclist professional,2003-07-20,Estonia,0
51,Amy Gillett,Road cyclist,2005-07-18,Australia,0
52,Frederiek Nolf,Road cyclist,2009-02-05,Belgium,0
53,Zinaida Stahurskaya,Road cyclist,2009-06-25,Belarus,0
54,Jure Robič,Road cyclist,2010-09-24,Slovenia,0
55,Carla Swart,Road cyclist,2011-01-19,South Africa,0
56,Carly Hibberd,Road cyclist,2011-07-06,Australia,0
57,Victor Cabedo,Road cyclist,2012-09-19,Spain,0
58,Iñaki Lejarreta,Mountain biker,2012-12-12,Spain,0
59,Burry Stander,Mountain biker,2013-01-01,South Africa,0
60,Amy Dombroski,Cyclo-cross,2013-10-03,United States,0
61,Kristof Goddaert,Road cyclist,2014-10-18,Belgium,0
62,Claudio Clarindo,Road cyclist,2016-01-25,Brazil,0
63,Kelly McGarry,Freerider,2016-02-01,New Zealand,0
64,Ellen Watters,Road cyclist,2016-12-23,Canada,0
65,Michele Scarponi,Road cyclist,2017-04-22,Italy,0
66,Jason Lowndes,Road cyclist,2017-12-22,Australia,0
67,Alistair Eeckman,Triathlete/Duathlete,2018-08-20,United States,0
68,Ben Sonntag,Mountain biker,2020-03-04,United States,0
69,Jan Riedmann,Road cyclist,2020-08-02,Germany,0
70,Daniel Pedraza Castillo,Road cyclist,2021-01-25,Colombia,0
71,Gwen Inglis,Road cyclist,2021-05-16,USA,0
72,Adrián Babič,Road cyclist,2021-05-26,Slovakia,0
73,Desiet Kidane,Road cyclist,2021-11-08,Eritrea,0
74,Estela Domínguez,Road cyclist and cyclocross rider,2023-02-09,Spain,0
75,Germán Chaves,Road cyclist,2023-06-03,Colombia,0
76,Tijl De Decker,Road cyclist,2023-08-25,Belgium,0
77,Gabriele Glodenyte,,,,
78,Clément Ouimet,,,,
79,John Cornish,,,,
80,Kelly Catlin,,,,
81,Lieuwe Westra,,,,
82,Raul Garcia Alvarez,,,,
83,Michael Antonelli,,,,
84,Jason Lowndes,,,,
85,Vicente López Carril,,,,
86,Marc Demeyer,,,,
87,Bert Oosterbosch,,,,
88,Joachim Halupczok,,,,
89,Stive Vermaut,,,,
90,Rob Goris,,,,
91,Niels De Vriendt,,,,
92,Eslam Nasser Zaki,,,,
93,Rab Wardell,,,,
94,Jacopo Venzo,,,,
95,Magnus White,,,,
96,Chris Anker Sørensen,,,,
97,Connor Lambert,,,,
98,Ethan Boyes,,,,
99,Arturo Gravalos,,,,
100,Moriah Wilson,,,,
101,Davide Rebellin,,,,
102,Juan Manuel Santisteban,,,,
103,Jean-Pierre Monseré,,,,
104,Tom Simpson,,,,
105,Richard Depoorter,,,,
106,Stan Ockers,,,,
107,Francisco Cepeda,,,,
108,Ottavio Bottecchia,,,,
